symbol,side,entry_ts,exit_ts,entry_px,exit_px,qty,gross_pnl,cost,net_pnl,return_pct,hold_days
GLD,LONG,2025-01-02 09:35:00,2025-05-29 09:35:00,244.22,305.74,409,25161.680000000004,249.457030101,24912.222969899005,25.19040209647041,147.0
GEV,LONG,2025-05-29 09:35:00,2025-05-30 09:35:00,487.25,470.0,4,-69.0,5.717079900000001,-74.7170799,-3.5402770651616233,1.0
RBLX,LONG,2025-05-29 09:35:00,2025-05-30 09:35:00,85.035,85.8,8,6.1200000000000045,1.515682287,4.604317713000005,0.8996295642970553,1.0
MSTR,LONG,2025-05-29 09:35:00,2025-05-30 09:35:00,370.785,369.0,1,-1.785000000000025,0.5346426195,-2.319642619500025,-0.4814110603179822,1.0
RBLX,LONG,2025-05-29 09:35:00,2025-06-02 09:35:00,85.035,87.2,223,482.7950000000014,42.595881355125,440.19911864487636,2.546010466278603,4.0
QBTS,LONG,2025-05-29 09:35:00,2025-06-02 09:35:00,17.59,16.235,4,-5.420000000000002,0.1500510825,-5.570051082500002,-7.70324047754406,4.0
PLTR,LONG,2025-05-29 09:35:00,2025-06-02 09:35:00,125.35,131.435,9,54.76500000000007,0.809623846125,53.95537615387507,4.854407658556048,4.0
GLD,LONG,2025-05-30 09:35:00,2025-06-02 09:35:00,303.64,309.21,2,11.139999999999986,1.3593319425,9.780668057499987,1.83440916875246,3.0
ZS,LONG,2025-06-02 09:35:00,2025-06-03 09:35:00,276.62,292.72,18,289.8000000000004,20.630234168999998,269.1697658310004,5.820258838840298,1.0
RGTI,LONG,2025-05-29 09:35:00,2025-06-03 09:35:00,14.41,12.57,33,-60.72,0.9874093185000001,-61.7074093185,-12.768910478834139,5.0
RBRK,LONG,2025-05-29 09:35:00,2025-06-03 09:35:00,97.0,99.8,61,170.79999999999984,20.876647320000004,149.92335267999982,2.8865979381443196,5.0
QUBT,LONG,2025-05-29 09:35:00,2025-06-03 09:35:00,13.64,12.215,59,-84.07500000000005,1.691756641125,-85.76675664112504,-10.447214076246336,5.0
PLTR,LONG,2025-05-29 09:35:00,2025-06-03 09:35:00,125.35,133.07,6,46.31999999999999,0.543185919,45.77681408099999,6.158755484642997,5.0
MSTR,LONG,2025-05-29 09:35:00,2025-06-03 09:35:00,370.785,379.4,4,34.45999999999981,2.1686347980000003,32.29136520199981,2.323448898957614,5.0
IONQ,LONG,2025-05-29 09:35:00,2025-06-03 09:35:00,48.0,41.74,15,-93.89999999999998,1.4928585525000002,-95.39285855249997,-13.041666666666663,5.0
GLD,LONG,2025-06-02 09:35:00,2025-06-03 09:35:00,309.21,309.56,2,0.7000000000000455,1.3724627985,-0.6724627984999545,0.1131916820284129,1.0
GEV,LONG,2025-05-29 09:35:00,2025-06-03 09:35:00,487.25,494.0,6,40.5,8.79062625,31.709373749999997,1.38532580810673,5.0
QBTS,LONG,2025-05-29 09:35:00,2025-06-03 09:35:00,17.59,17.295,33,-9.734999999999939,1.276715125125,-11.011715125124939,-1.677089255258657,5.0
GLD,LONG,2025-06-03 09:35:00,2025-06-04 09:35:00,309.56,309.41,2,-0.2999999999999545,1.3729064085000002,-1.6729064084999548,-0.048455872851782544,1.0
MSTR,LONG,2025-05-29 09:35:00,2025-06-04 09:35:00,370.785,385.8,36,540.5399999999995,19.684223262000003,520.8557767379995,4.049516566204137,6.0
APLD,LONG,2025-06-04 09:35:00,2025-06-05 09:35:00,10.475,13.97,112,391.4400000000001,3.0363330060000004,388.4036669940001,33.36515513126492,1.0
DUOL,LONG,2025-05-29 09:35:00,2025-06-05 09:35:00,530.47,530.18,1,-0.2900000000000773,2.7224764199999996,-3.012476420000077,-0.05466850151754077,7.0
PLTR,LONG,2025-05-29 09:35:00,2025-06-05 09:35:00,125.35,129.27,71,278.32000000000113,6.3331823565,271.9868176435011,3.1272437175907664,7.0
PLTR,LONG,2025-06-04 09:35:00,2025-06-05 09:35:00,132.8,129.27,8,-28.24000000000001,0.734477382,-28.97447738200001,-2.658132530120483,1.0
GLD,LONG,2025-06-04 09:35:00,2025-06-05 09:35:00,309.41,311.24,2,3.659999999999968,1.3766327325,2.283367267499968,0.5914482401990773,1.0
ZS,LONG,2025-06-02 09:35:00,2025-06-06 09:35:00,276.62,302.63,53,1378.5299999999995,61.801905768750004,1316.7280942312495,9.402790832188558,4.0
ZS,LONG,2025-06-04 09:35:00,2025-06-06 09:35:00,295.48,302.63,5,35.749999999999886,6.02020144125,29.729798558749884,2.41979152565317,2.0
